股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
000977.SZ,浪潮信息,33.38,0.542,6.2,6.9,5.3,5.5,4.5,7.1,33,977
000998.SZ,隆平高科,13.57,-0.221,6.2,6.9,5.0,6.4,4.5,6.7,33,998
002003.SZ,伟星股份,10.8,1.124,6.2,7.2,4.9,5.5,4.5,7.3,33,2003
002053.SZ,云南能投,9.47,-1.148,6.2,5.8,6.4,5.8,4.5,7.5,33,2053
002085.SZ,万丰奥威,6.29,-2.329,6.2,8.8,3.9,5.5,4.5,5.9,33,2085
002120.SZ,韵达股份,7.12,2.446,6.2,6.0,7.7,5.5,4.5,6.2,33,2120
002180.SZ,纳思达,20.55,2.801,6.2,6.4,7.1,4.2,4.5,7.0,33,2180
002236.SZ,大华股份,17.82,-1.656,6.2,6.6,5.3,5.9,4.5,7.4,33,2236
002304.SZ,洋河股份,97.29,-0.725,6.2,6.2,7.1,5.5,5.0,6.4,33,2304
002335.SZ,科华数据,22.06,-0.451,6.2,6.0,4.9,7.0,4.5,7.6,33,2335
002373.SZ,千方科技,9.68,-0.514,6.2,6.3,5.7,6.1,4.5,7.3,33,2373
002472.SZ,双环传动,22.29,0.405,6.2,6.1,5.9,6.2,4.5,7.3,33,2472
002545.SZ,东方铁塔,6.85,-0.146,6.2,5.4,8.1,5.5,4.5,6.8,33,2545
002705.SZ,新宝股份,13.58,-0.731,6.2,6.8,6.8,5.5,1.1,7.3,33,2705
002884.SZ,凌霄泵业,18.94,-0.211,6.2,8.7,5.6,5.0,1.0,6.5,33,2884
002948.SZ,青岛银行,3.26,0.0,6.2,7.2,5.5,5.0,3.0,7.6,33,2948
003006.SZ,百亚股份,14.85,-1.851,6.2,6.4,7.7,5.0,1.0,7.6,33,3006
003012.SZ,东鹏控股,7.79,0.129,6.2,5.2,5.8,7.7,4.5,7.6,33,3012
300049.SZ,福瑞股份,39.5,2.918,6.2,6.1,5.3,7.7,3.5,7.1,33,300049
300224.SZ,正海磁材,10.27,-0.964,6.2,7.2,5.1,5.0,4.7,7.1,33,300224
300236.SZ,上海新阳,31.35,0.16,6.2,5.7,5.3,8.4,4.7,6.8,33,300236
300253.SZ,卫宁健康,6.6,-0.151,6.2,6.8,5.2,7.0,4.5,6.6,33,300253
300349.SZ,金卡智能,11.25,0.897,6.2,6.0,4.8,6.4,4.5,8.1,33,300349
300502.SZ,新易盛,63.0,-4.372,6.2,9.0,5.5,5.5,1.1,5.9,33,300502
300627.SZ,华测导航,26.16,-1.58,6.2,6.6,6.4,6.9,1.1,7.2,33,300627
300811.SZ,铂科新材,51.9,-2.278,6.2,7.4,7.3,5.5,1.1,6.5,33,300811
600057.SH,厦门象屿,6.81,1.039,6.2,6.5,6.5,5.5,4.5,6.5,17,600057
600079.SH,人福医药,21.64,-1.232,6.2,6.6,6.9,4.4,4.5,6.8,17,600079
600129.SH,太极集团,40.79,1.569,6.2,7.7,2.9,6.6,4.7,7.6,17,600129
600170.SH,上海建工,2.42,0.0,6.2,6.1,7.0,5.5,4.5,6.9,17,600170
